Data;DventoSI;DventoSG;Precipitacao;velocidadedovento;Njus;Nsv;Nsi;Nmon
09/11/2021;128,2;100,89;0;2,966667;0,578;1,91;1,4418;0,8896
10/11/2021;217,24;209,4;0;4,033333;0,509;1,9;1,4035;0,7851
11/11/2021;83,46;140,26;0;4,8;0,5409;1,92;1,336;0,5981
12/11/2021;65,8;237,13;0;6,533333;0,4651;1,95;1,2446;0,643
13/11/2021;208,67;197,6;0;7,8;0,4352;2,11;1,0287;0,6878
14/11/2021;175,87;196,45;0;2,4;0,5425;2,09;1,1007;0,5445
15/11/2021;200,5;191,26;0;5,2;0,3789;1,86;1,2501;0,6494
16/11/2021;149,04;131,38;0;2,666667;0,3475;1,84;1,1814;0,5965
17/11/2021;176,87;187,28;13,7;3,8;0,4799;1,49;1,5887;0,6719
18/11/2021;162,86;170,48;0;2,6;0,563;1,74;1,2866;0,8228
19/11/2021;169,62;144,04;0;2,3;0,6351;1,79;1,1958;0,4873
20/11/2021;71,6;59;0;3,1;0,7477;1,78;1,1129;0,8569
21/11/2021;59;152,13;0;2,066667;0,8543;1,68;1,2045;1,0211
22/11/2021;184,55;239,91;0;2;1,024;1,71;1,1469;1,1082
23/11/2021;207,3;194,05;0,1;3,266667;1,2984;1,41;1,4189;1,3915
24/11/2021;183,91;178,84;0;4,5;1,0535;1,73;1,0408;1,1888
25/11/2021;75,09;62,79;0;4,366667;;1,75;0,96;0,9474
26/11/2021;38,07;156,99;12,4;5,733333;;1,23;1,3214;0,8504
27/11/2021;44,26;253,05;1,9;2,533333;;1,45;1,2066;0,6942
28/11/2021;203,74;241,4;1,2;2,5;0,6041;1,56;1,0355;0,8118
29/11/2021;271,22;284,47;0,6;6;0,6183;1,55;1,0696;0,8613
30/11/2021;292,26;271,99;0;6;0,5857;1,06;1,4747;0,8269
01/12/2021;265,94;262,23;0;2,3;0,7742;1,39;1,1204;0,6436
02/12/2021;206,23;169,12;0;3,533333;0,5678;1,45;0,9969;0,657
03/12/2021;71,84;269,67;0;5,266667;0,6168;1,51;0,8917;0,8358
04/12/2021;228,63;215,96;0;5,266667;0,7514;1,44;0,9319;0,975
05/12/2021;223,97;217,49;0;3,833333;0,7017;1,42;0,9344;0,8853
06/12/2021;125,71;253,78;0;4,566667;0,7988;1,38;0,9212;0,5472
07/12/2021;144,98;185,44;0,3;4,3;0,6749;1,42;0,8535;0,3181
